Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x8d3641bf2b1f92079e540af2079f71e5104eaea3f920c6f6d771dd2fb4d10475,2022-12-17 10:29:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,17721.049750238006,
0x8d3641bf2b1f92079e540af2079f71e5104eaea3f920c6f6d771dd2fb4d10475,2022-12-17 10:29:23,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2211.922899,
0x92081247ce2bca1c26ea2a6b63c040e357cf31ec25d05404b684c227a4c36d9e,2022-12-18 16:18:35,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,1106.202706,
0xfb0402c952611cb0e80d628eb5fffec1fbc93150c1b95b266e449303afca9ad1,2022-12-18 16:35:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,4462.378862666821,
0x3621e0fc749ff762ad66072ecd5aef2c83e906c23506929e863cd0b363f7992e,2022-12-18 16:35:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,8159.4459296055975,
0x9035a207b48c70020f8bbdf3368cdef59b6ffcf79767572b7e59044e9f32f825,2022-12-18 16:36:11,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,12621.824792272419,
0x9035a207b48c70020f8bbdf3368cdef59b6ffcf79767572b7e59044e9f32f825,2022-12-18 16:36:11,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,1654.511457,
0x66e116b919a2bbbb1c13f612dd35fd9eec7698d3c4fd8be9e9361c68edd7a3b3,2022-12-20 05:46:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5180.858337518565,
0x8571ce05fcb4e8125df7e395f1e482f9b157c6df81b3576434d21962f46bcab2,2022-12-20 05:46:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,9467.00295372735,
0x3378930521710d5e06b9363577a1f32cacd2c2a94610845eae2d51ca2901c6e8,2022-12-20 05:50:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,14647.861291245914,
0x3378930521710d5e06b9363577a1f32cacd2c2a94610845eae2d51ca2901c6e8,2022-12-20 05:50:23,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2205.57438,
0xe31cbc871265b2502d36b5da0def14e2667ce3ba6caa061335ff5ae8fe8c5842,2022-12-21 15:21:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,4692.388352934906,
0x92a64783ab12509ca03b035301cc6d800cc2fc4edd984db4d778c37ecc2037ac,2022-12-21 15:21:47,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,8591.239206954293,
0xfc75d2dfc908cf3da9582279f934898b445deae7969ef9ed1e53d17042746f07,2022-12-21 15:23:59,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,13283.627559889199,
0xfc75d2dfc908cf3da9582279f934898b445deae7969ef9ed1e53d17042746f07,2022-12-21 15:23:59,0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,0.10868014,
0x09aa77a77089bb76838cbb19e040171c8612add6803f90c0df6d7c8ae15f0abc,2022-12-21 15:25:47,0xd620aadabaa20d2af700853c4504028cba7c3333,0x0000000000000000000000000000000000000000,ERC-20 Transfer,0x9c39809dec7f95f5e0713634a4d0701329b3b4d2,variableDebtWBTC,,0.10868014,
0x09aa77a77089bb76838cbb19e040171c8612add6803f90c0df6d7c8ae15f0abc,2022-12-21 15:25:47,0xd620aadabaa20d2af700853c4504028cba7c3333,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,ERC-20 Transfer,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,,0.10868014,
0xea39bcd8f8883cc32bd67bd8d069583b359ddbecef5a816722c643c1a04139d8,2022-12-21 15:26:11,0xd620aadabaa20d2af700853c4504028cba7c3333,0xbcca60bb61934080951369a648fb03df4f96263c,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,57877.277159,
0xea39bcd8f8883cc32bd67bd8d069583b359ddbecef5a816722c643c1a04139d8,2022-12-21 15:26:11,0x0000000000000000000000000000000000000000,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xbcca60bb61934080951369a648fb03df4f96263c,aUSDC,,57877.277159,
0xf067fb02934e0a0c73a5a728131a0646d1f4f062fbc304bbb0b0f924ac1da090,2022-12-23 03:27:59,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,9239.018922709132,
0xcdc122227d39dd59c9008e9d0e6d09a9cc1ce6633a6b3b8b193298ecba97e398,2022-12-23 03:28:23,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,5115.726608494223,
0x7ce6064eadcfb425a7979ae67934b0980cee8aa25a0ac29e5136640c8906f698,2022-12-23 03:28:59,0xd620aadabaa20d2af700853c4504028cba7c3333,0x21f396dd37a26d7754c513fd916d07f66aa6b81e,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,14354.745531203356,
0x7ce6064eadcfb425a7979ae67934b0980cee8aa25a0ac29e5136640c8906f698,2022-12-23 03:28:59,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,2157.419868,
0x8f40e51b7bec5d9c3a4fe6f258ef56e1066496a0e4df6cb5b4be3b72e70ceed2,2022-12-24 13:25:11,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,4813.770125416799,
0x8e9373d6082f0cf65477c8d677b08d8e0a28bd630ee888c1d1456f7dc0717715,2022-12-24 13:25:35,0x0fa46e8cbceff8468db2ec2fd77731d8a11d3d86,0xd620aadabaa20d2af700853c4504028cba7c3333,ERC-20 Transfer,0x1ea48b9965bb5086f3b468e50ed93888a661fc17,MON,,8644.603007370246,
